Focus area: 27-Tobacco Use - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw   data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 footnote,2006 data,raw   data,se   data,2007 footnote,2007 data,raw   data,se   data,2008 data,2008 raw value,2008 se
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 White only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 2 or more races,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Female,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Male,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 10th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 11th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 12th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              STATE:Colorado,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,26%,26.1,3.4,,---,.,.,,DNC,.,.,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,---,.,.
                 White only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,---,.,.
                 2 or more races,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,20%,20.3,4.5,,---,.,.,,DNC,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,28%,27.7,3.8,,---,.,.,,DNC,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,28%,28.0,3.4,,---,.,.,,DNC,.,.,---,.,.
                 Female,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,21%,20.7,3.4,,---,.,.,,DNC,.,.,---,.,.
                 Male,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,32%,31.5,3.9,,---,.,.,,DNC,.,.,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,14%,13.8,2.1,,---,.,.,,DNC,.,.,---,.,.
                 10th grade,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,27%,27.4,4.2,,---,.,.,,DNC,.,.,---,.,.
                 11th grade,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,24%,24.2,5.1,,---,.,.,,DNC,.,.,---,.,.
                 12th grade,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,42%,41.6,6.5,,---,.,.,,DNC,.,.,---,.,.
              STATE:Connecticut,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Female,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Male,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Less than high school,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 10th grade,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 11th grade,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 12th grade,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
              STATE:Delaware,,---,.,.,,37%,37.0,1.4,,---,.,.,,29%,29.0,1.2,,---,.,.,,27%,26.6,1.1,,---,.,.,,25%,25.2,1.1,,---,.,.,,25%,24.6,1.0,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,34%,33.5,4.2,,---,.,.,,33%,32.5,3.9,,---,.,.,,22%,21.7,3.5,,---,.,.,,21%,21.1,3.4,,---,.,.,,25%,24.8,2.7,---,.,.
                 Not Hispanic or Latino,,---,.,.,,37%,37.3,1.5,,---,.,.,,29%,28.9,1.2,,---,.,.,,27%,26.9,1.2,,---,.,.,,26%,25.7,1.1,,---,.,.,,24%,24.2,1.1,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,22%,21.8,1.9,,---,.,.,,17%,16.9,1.8,,---,.,.,,17%,16.9,1.6,,---,.,.,,13%,12.8,1.4,,---,.,.,,12%,12.3,1.3,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,45%,44.6,2.0,,---,.,.,,34%,34.2,1.7,,---,.,.,,32%,31.7,1.7,,---,.,.,,32%,31.9,1.5,,---,.,.,,32%,31.7,1.6,---,.,.
                 Female,,---,.,.,,35%,34.6,2.0,,---,.,.,,26%,25.6,1.5,,---,.,.,,27%,26.8,1.6,,---,.,.,,24%,24.3,1.4,,---,.,.,,22%,21.6,1.4,---,.,.
                 Male,,---,.,.,,39%,39.3,1.6,,---,.,.,,32%,32.4,1.6,,---,.,.,,26%,26.1,1.4,,---,.,.,,26%,26.2,1.5,,---,.,.,,27%,27.1,1.3,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,30%,30.3,2.3,,---,.,.,,24%,24.1,2.0,,---,.,.,,26%,26.3,2.0,,---,.,.,,21%,21.0,1.8,,---,.,.,,20%,20.2,1.7,---,.,.
                 10th grade,,---,.,.,,39%,39.0,2.4,,---,.,.,,28%,27.5,2.4,,---,.,.,,25%,24.9,2.5,,---,.,.,,24%,23.7,1.7,,---,.,.,,21%,20.5,1.8,---,.,.
                 11th grade,,---,.,.,,37%,36.8,3.2,,---,.,.,,31%,31.0,1.5,,---,.,.,,24%,24.3,2.0,,---,.,.,,30%,29.7,3.0,,---,.,.,,26%,25.7,2.0,---,.,.
                 12th grade,,---,.,.,,44%,43.9,2.9,,---,.,.,,36%,36.0,3.2,,---,.,.,,31%,31.2,2.2,,---,.,.,,29%,29.0,2.0,,---,.,.,,34%,33.6,2.9,---,.,.
              STATE:District of Columbia,,---,.,.,,23%,23.3,1.3,,---,.,.,,DSU,.,.,,---,.,.,,15%,14.7,1.0,,---,.,.,,11%,10.7,1.0,,---,.,.,,13%,12.8,1.0,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,28%,28.4,3.5,,---,.,.,,DSU,.,.,,---,.,.,,22%,21.7,2.7,,---,.,.,,22%,21.7,2.9,,---,.,.,,16%,15.9,2.9,---,.,.
                 Not Hispanic or Latino,,---,.,.,,23%,22.8,1.5,,---,.,.,,DSU,.,.,,---,.,.,,14%,13.9,1.0,,---,.,.,,10%,9.6,1.0,,---,.,.,,12%,11.7,1.0,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,22%,22.4,1.5,,---,.,.,,DSU,.,.,,---,.,.,,13%,12.8,1.0,,---,.,.,,9%,9.1,1.1,,---,.,.,,11%,11.1,1.0,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Female,,---,.,.,,21%,21.2,1.5,,---,.,.,,DSU,.,.,,---,.,.,,13%,13.2,1.2,,---,.,.,,10%,10.4,1.3,,---,.,.,,9%,9.0,1.1,---,.,.
                 Male,,---,.,.,,26%,26.0,1.8,,---,.,.,,DSU,.,.,,---,.,.,,16%,16.5,1.7,,---,.,.,,11%,11.1,1.2,,---,.,.,,17%,16.6,1.9,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,22%,22.1,2.1,,---,.,.,,DSU,.,.,,---,.,.,,12%,12.2,1.6,,---,.,.,,10%,10.3,1.4,,---,.,.,,10%,10.2,1.4,---,.,.
                 10th grade,,---,.,.,,20%,20.0,2.0,,---,.,.,,DSU,.,.,,---,.,.,,18%,18.1,2.2,,---,.,.,,9%,9.3,1.5,,---,.,.,,13%,13.0,1.9,---,.,.
                 11th grade,,---,.,.,,26%,26.2,2.8,,---,.,.,,DSU,.,.,,---,.,.,,14%,14.0,1.8,,---,.,.,,14%,14.0,3.0,,---,.,.,,13%,13.5,2.3,---,.,.
                 12th grade,,---,.,.,,27%,27.3,2.4,,---,.,.,,DSU,.,.,,---,.,.,,14%,14.3,2.8,,---,.,.,,9%,8.7,2.1,,---,.,.,,14%,13.9,2.5,---,.,.
              STATE:Florida,,---,.,.,,DSU,.,.,,---,.,.,,27%,26.6,1.0,,---,.,.,,23%,22.7,1.0,,---,.,.,,22%,21.6,0.9,,---,.,.,,20%,20.2,0.8,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,24%,24.3,2.1,,---,.,.,,19%,19.0,1.6,,---,.,.,,18%,18.3,1.6,,---,.,.,,17%,16.9,1.3,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,27%,27.2,1.1,,---,.,.,,24%,23.7,1.2,,---,.,.,,22%,22.5,1.0,,---,.,.,,21%,21.3,1.1,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DSU,.,.,,---,.,.,,14%,14.3,1.4,,---,.,.,,11%,10.9,1.4,,---,.,.,,10%,10.0,1.2,,---,.,.,,9%,8.6,1.1,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DSU,.,.,,---,.,.,,33%,32.6,1.2,,---,.,.,,29%,29.2,1.4,,---,.,.,,28%,27.9,1.1,,---,.,.,,28%,27.5,1.3,---,.,.
                 Female,,---,.,.,,DSU,.,.,,---,.,.,,25%,24.9,1.5,,---,.,.,,20%,19.7,1.2,,---,.,.,,20%,19.6,1.0,,---,.,.,,17%,16.7,1.0,---,.,.
                 Male,,---,.,.,,DSU,.,.,,---,.,.,,28%,28.1,1.1,,---,.,.,,26%,25.7,1.5,,---,.,.,,24%,23.6,1.5,,---,.,.,,24%,23.6,1.1,---,.,.
                 Less than high school,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DSU,.,.,,---,.,.,,24%,23.9,1.5,,---,.,.,,19%,19.5,1.6,,---,.,.,,18%,18.2,1.4,,---,.,.,,17%,16.7,1.2,---,.,.
                 10th grade,,---,.,.,,DSU,.,.,,---,.,.,,25%,24.6,1.9,,---,.,.,,22%,21.6,1.7,,---,.,.,,21%,20.9,1.3,,---,.,.,,19%,19.2,1.5,---,.,.
                 11th grade,,---,.,.,,DSU,.,.,,---,.,.,,30%,30.1,1.8,,---,.,.,,27%,27.1,1.7,,---,.,.,,22%,21.8,1.7,,---,.,.,,22%,21.6,1.4,---,.,.
                 12th grade,,---,.,.,,DSU,.,.,,---,.,.,,29%,29.4,1.6,,---,.,.,,26%,25.5,2.0,,---,.,.,,27%,27.2,2.1,,---,.,.,,24%,24.4,1.7,---,.,.
              STATE:Georgia,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,26%,26.1,1.5,,---,.,.,,24%,24.1,1.8,,---,.,.,,26%,26.2,1.1,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,24%,23.8,5.4,---,.,.
