Focus area: 19-Nutrition and Overweight - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw  data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,61.5,13.1,1,DSU,34.7,10.9,1,DSU,68.2,8.1,1,DSU,56.4,6.7,1,DSU,35.2,7.0,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,51.6,0.0,1,DSU,100.0,0.0,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,46.8,8.7,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",DSU,60.3,17.9,"1,2",DSU,16.9,16.5,"1,2",DSU,45.0,12.5,1,DSU,37.1,12.2,1,DSU,24.4,14.1,1,DSU,47.6,4.0,1,DSU,21.6,11.8,1,DSU,24.1,9.1,---,.,.,---,.,.,---,.,.
               White only,"1,2",40%,40.4,1.3,"1,2",37%,36.5,1.2,"1,2",36%,35.8,1.2,1,35%,35.3,1.1,1,34%,34.2,1.0,1,33%,33.3,1.1,1,34%,34.4,1.1,1,33%,32.8,1.0,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,9.2,6.7,1,DSU,29.8,10.9,1,DSU,19.4,8.0,1,DSU,30.4,8.8,1,DSU,4.7,4.1,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,9.2,6.7,1,DSU,29.7,11.6,1,DSU,13.8,8.0,1,DSU,32.8,11.4,1,DSU,0.5,0.5,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,DSU,43.7,9.9,1,DSU,23.4,6.8,1,DSU,27.7,6.3,1,DSU,34.3,7.0,1,DSU,23.3,7.2,1,DSU,27.7,7.0,1,DSU,27.1,7.9,1,DSU,18.4,6.0,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,40%,40.3,1.3,1,36%,36.1,1.2,1,35%,35.4,1.2,1,35%,34.9,1.1,1,34%,33.9,1.0,1,33%,33.1,1.0,1,34%,34.0,1.0,1,32%,32.0,1.0,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",DSU,60.3,17.9,"1,2",DSU,16.9,16.5,"1,2",DSU,54.3,8.8,1,DSU,37.1,12.2,1,DSU,24.4,14.1,1,DSU,47.6,4.0,1,DSU,21.6,11.8,1,DSU,24.1,9.1,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",40%,40.3,1.3,"1,2",37%,36.6,1.3,"1,2",36%,35.7,1.2,1,35%,35.3,1.1,1,34%,34.3,1.0,1,33%,33.3,1.1,1,34%,34.4,1.1,1,33%,33.0,1.0,---,.,.,---,.,.,---,.,.
               Female,1,50%,50.4,1.8,1,46%,46.4,1.7,1,44%,43.8,1.7,1,45%,44.9,1.4,1,43%,42.6,1.4,1,43%,42.5,1.4,1,42%,41.6,1.4,1,42%,41.6,1.4,---,.,.,---,.,.,---,.,.
               Male,1,31%,30.7,1.8,1,27%,26.7,1.6,1,27%,27.1,1.7,1,25%,25.3,1.4,1,25%,25.1,1.4,1,24%,24.0,1.4,1,26%,26.4,1.5,1,23%,22.5,1.3,---,.,.,---,.,.,---,.,.
               Less than high school,1,24%,24.3,4.3,1,30%,29.8,5.6,1,31%,30.6,6.1,1,27%,27.5,5.4,1,20%,19.9,3.9,1,31%,31.5,5.5,1,24%,23.5,4.8,1,20%,19.7,4.0,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,15%,15.2,4.5,1,17%,17.4,5.1,1,9%,9.3,3.4,1,25%,25.0,8.1,1,12%,11.8,4.8,1,29%,29.0,10.7,1,26%,26.1,11.7,1,19%,19.2,6.0,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,25%,24.8,5.3,1,33%,33.0,6.4,1,34%,33.6,6.9,1,26%,25.8,5.7,1,25%,25.1,5.3,1,32%,32.1,6.4,1,24%,23.8,5.2,1,20%,19.6,4.9,---,.,.,---,.,.,---,.,.
               High school graduate,1,36%,36.5,2.5,1,32%,32.3,2.3,1,32%,31.9,2.4,1,31%,31.1,2.0,1,28%,28.4,1.9,1,29%,29.4,2.0,1,28%,28.4,1.9,1,27%,26.7,1.8,---,.,.,---,.,.,---,.,.
               At least some college,1,40%,40.1,1.7,1,34%,34.0,1.6,1,37%,37.0,1.7,1,34%,34.4,1.4,1,34%,33.9,1.3,1,31%,31.3,1.2,1,33%,32.7,1.2,1,31%,31.4,1.0,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,40%,39.6,2.8,1,35%,34.6,2.5,1,40%,40.2,2.5,1,36%,36.3,2.0,1,33%,32.8,1.8,1,32%,32.5,1.8,1,37%,37.1,1.8,1,35%,35.2,1.5,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.1,2.8,1,29%,29.2,2.8,1,28%,27.9,2.8,1,28%,28.4,3.0,1,24%,24.4,2.7,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,36%,36.0,1.1,1,35%,34.6,1.1,1,34%,33.9,1.1,1,35%,35.2,1.1,1,33%,33.1,1.0,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,49%,48.7,2.2,1,45%,45.4,2.2,1,43%,42.7,2.1,1,42%,41.9,1.8,1,42%,41.5,1.9,1,41%,40.6,2.0,1,44%,43.7,2.1,1,37%,37.2,2.0,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,37%,36.7,2.1,1,31%,31.0,1.9,1,31%,30.8,1.9,1,30%,30.3,1.6,1,30%,29.5,1.4,1,28%,28.3,1.4,1,26%,26.4,1.3,1,26%,25.8,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,32%,32.0,2.1,1,28%,28.1,2.0,1,30%,29.9,2.3,1,31%,30.6,2.0,1,27%,27.0,1.6,1,28%,28.2,1.6,1,29%,29.0,1.6,1,32%,32.2,1.4,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,27%,27.0,3.0,1,29%,29.4,2.9,1,31%,30.8,2.6,1,28%,28.3,2.3,,DNC,.,.,1,DNC,29.5,2.5,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,37%,37.1,1.4,1,36%,36.4,1.2,1,36%,35.9,1.2,1,34%,34.5,1.2,,DNC,.,.,1,DNC,33.4,1.1,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,DSU,11.4,4.4,1,14%,14.0,5.0,1,17%,16.8,7.6,1,7%,6.7,1.8,1,14%,14.1,5.1,1,22%,21.6,6.4,1,12%,12.1,4.1,1,9%,9.5,2.9,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,41%,41.3,1.3,1,37%,36.9,1.2,1,36%,36.2,1.2,1,36%,36.0,1.1,1,35%,34.8,1.0,1,34%,34.2,1.1,1,35%,35.1,1.1,1,33%,33.3,1.0,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,1,21%,21.5,2.5,1,22%,21.7,2.5,,DNC,.,.,1,22%,21.9,2.5,1,17%,16.9,2.3,1,18%,18.1,2.3,,DNC,.,.,1,DNC,14.6,2.0,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,1,46%,45.6,1.5,1,40%,40.0,1.4,,DNC,.,.,1,38%,38.3,1.3,1,37%,37.4,1.2,1,37%,36.9,1.2,,DNC,.,.,1,DNC,35.8,1.1,---,.,.,---,.,.,---,.,.
            STATE:Ohio,1,40%,39.6,1.3,1,38%,38.3,1.5,1,39%,38.8,1.2,1,35%,35.3,1.0,1,37%,37.1,0.9,1,35%,34.7,1.0,1,34%,34.2,1.2,1,32%,32.4,1.3,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,56.6,13.9,"1,2",DSU,66.8,12.0,"1,2",DSU,38.0,8.4,1,DSU,40.5,7.4,1,DSU,44.6,9.0,1,DSU,16.9,7.6,1,DSU,42.1,11.8,1,DSU,17.6,10.1,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,39.1,10.6,1,DSU,75.8,9.4,1,DSU,59.7,9.2,1,42%,42.3,8.9,1,DSU,76.8,7.7,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,47.5,4.6,1,DSU,23.3,16.9,1,DSU,0.0,0.0,1,DSU,28.8,9.4,1,DSU,28.7,23.3,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",33%,33.4,4.0,"1,2",34%,33.6,4.4,"1,2",30%,30.2,4.0,1,26%,26.4,2.8,1,35%,35.4,4.1,1,25%,24.7,3.0,1,26%,26.3,3.2,1,23%,22.5,3.4,---,.,.,---,.,.,---,.,.
               White only,"1,2",40%,40.2,1.4,"1,2",39%,39.0,1.6,"1,2",39%,39.1,1.3,1,36%,36.3,1.1,1,37%,37.0,1.0,1,35%,35.5,1.1,1,35%,35.1,1.3,1,33%,33.4,1.4,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.3,8.5,,DNC,.,.,1,DSU,41.4,9.2,1,26%,25.5,6.0,1,38%,37.6,9.3,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,35.3,10.2,,DNC,.,.,1,DSU,26.9,8.7,1,DSU,23.1,8.0,1,DSU,36.8,13.3,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,76.8,0.0,,DNC,.,.,1,DSU,23.2,0.0,1,DSU,22.0,10.0,1,DSU,36.0,10.0,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,DSU,25.3,8.2,1,DSU,16.1,8.8,1,36%,35.6,8.2,1,24%,24.2,5.4,1,41%,41.1,5.8,1,39%,39.1,7.6,1,29%,28.9,7.3,1,DSU,36.2,10.2,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,40%,39.9,1.3,1,39%,39.0,1.5,1,39%,38.9,1.2,1,36%,35.6,1.0,1,37%,37.2,0.9,1,35%,34.7,1.0,1,34%,34.4,1.2,1,32%,32.4,1.3,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",33%,33.2,4.1,"1,2",34%,34.1,4.4,"1,2",30%,29.9,4.0,1,26%,26.3,2.8,1,35%,35.3,4.2,1,25%,24.7,3.1,1,27%,26.8,3.2,1,23%,22.7,3.4,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",40%,40.5,1.4,"1,2",39%,39.2,1.6,"1,2",39%,39.3,1.3,1,36%,36.4,1.1,1,37%,36.9,1.0,1,35%,35.2,1.1,1,35%,35.0,1.3,1,33%,33.5,1.4,---,.,.,---,.,.,---,.,.
               Female,1,44%,43.5,1.7,1,45%,44.8,1.9,1,45%,44.6,1.6,1,41%,41.1,1.3,1,45%,45.2,1.3,1,40%,40.2,1.3,1,40%,40.3,1.6,1,36%,36.2,1.7,---,.,.,---,.,.,---,.,.
               Male,1,36%,35.5,1.9,1,31%,31.2,2.3,1,33%,32.6,1.9,1,29%,29.0,1.5,1,29%,28.9,1.3,1,29%,29.3,1.5,1,28%,27.8,1.7,1,28%,28.2,1.9,---,.,.,---,.,.,---,.,.
               Less than high school,1,34%,34.4,4.3,1,30%,29.8,4.5,1,35%,34.7,4.7,1,33%,33.2,4.3,1,36%,36.1,3.7,1,31%,31.5,3.8,1,20%,20.3,3.9,1,26%,26.4,4.8,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,25%,25.0,9.0,1,DSU,48.5,14.3,1,DSU,30.4,12.0,1,12%,11.9,4.0,1,41%,40.7,7.8,1,47%,46.7,13.1,1,DSU,18.9,11.5,1,DSU,18.6,10.3,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,35%,34.6,4.5,1,26%,26.0,4.4,1,36%,36.1,5.1,1,40%,39.8,4.7,1,36%,35.5,4.1,1,29%,29.4,4.0,1,22%,22.1,4.2,1,28%,28.4,5.1,---,.,.,---,.,.,---,.,.
               High school graduate,1,33%,32.6,2.0,1,35%,35.2,2.3,1,36%,36.2,2.1,1,30%,29.9,1.6,1,33%,33.4,1.6,1,30%,30.1,1.8,1,31%,31.5,2.1,1,27%,27.2,2.1,---,.,.,---,.,.,---,.,.
               At least some college,1,42%,41.8,1.9,1,38%,38.5,2.1,1,39%,38.6,1.7,1,35%,35.3,1.4,1,36%,36.3,1.2,1,36%,36.3,1.3,1,35%,34.8,1.6,1,33%,33.3,1.5,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,48%,48.3,2.7,1,41%,40.8,3.0,1,39%,39.3,2.4,1,37%,37.3,1.9,1,41%,41.1,1.7,1,40%,40.1,1.8,1,39%,39.1,2.2,1,39%,39.1,2.2,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.5,2.5,1,30%,30.0,2.1,1,31%,31.2,2.7,1,29%,28.5,3.3,1,24%,24.3,2.8,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,36.5,1.1,1,39%,38.8,1.1,1,36%,35.5,1.1,1,35%,35.3,1.3,1,36%,35.5,1.5,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,44%,44.3,2.2,1,46%,46.5,2.6,1,46%,45.9,2.1,1,41%,41.0,1.7,1,43%,43.5,1.7,1,39%,39.0,1.8,1,41%,40.8,2.3,1,36%,36.4,2.7,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,35%,35.1,2.1,1,32%,31.9,2.4,1,33%,32.6,1.9,1,32%,32.2,1.6,1,33%,33.3,1.4,1,32%,31.5,1.5,1,29%,29.4,1.8,1,31%,30.6,1.7,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,39%,38.7,2.3,1,35%,34.7,2.5,1,37%,36.8,2.4,1,30%,30.3,1.8,1,32%,32.4,1.9,1,33%,32.7,1.8,1,30%,30.4,1.9,1,29%,28.5,1.7,---,.,.,---,.,.,---,.,.
               Persons with arthritis,1,32%,32.3,3.7,,DNC,.,.,1,32%,32.2,2.7,1,28%,28.2,2.5,1,27%,27.0,1.8,1,25%,25.2,1.9,1,23%,23.4,2.4,1,DNC,27.1,2.0,---,.,.,---,.,.,---,.,.
               Persons without arthritis,1,43%,42.6,1.5,,DNC,.,.,1,41%,40.9,1.5,1,38%,37.8,1.2,1,41%,40.9,1.2,1,38%,38.0,1.2,1,38%,38.0,1.5,1,DNC,37.0,1.1,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,18%,18.3,6.3,1,23%,22.6,10.6,1,29%,28.6,7.1,1,11%,11.1,3.8,1,28%,27.6,4.9,1,20%,20.3,4.2,1,11%,11.1,4.5,1,11%,11.3,2.9,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,41%,40.5,1.3,1,40%,39.5,1.5,1,40%,39.8,1.3,1,37%,37.1,1.0,1,38%,38.5,1.0,1,36%,35.8,1.0,1,36%,36.0,1.3,1,34%,33.8,1.3,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,1,22%,22.1,2.3,1,23%,23.2,3.1,1,26%,26.0,2.6,1,26%,25.6,2.3,,DNC,.,.,1,18%,18.3,2.4,1,17%,16.9,2.0,1,DNC,17.3,1.5,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,1,45%,45.3,1.6,1,43%,42.8,1.7,1,42%,41.8,1.5,1,39%,39.0,1.2,,DNC,.,.,1,40%,39.8,1.2,1,39%,39.1,1.5,1,DNC,38.3,1.1,---,.,.,---,.,.,---,.,.
            STATE:Oklahoma,1,42%,41.5,1.1,1,37%,37.0,1.0,1,39%,38.7,0.9,1,33%,32.5,0.9,1,37%,36.7,0.7,1,35%,35.0,0.7,1,34%,34.5,0.7,1,31%,31.2,0.7,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",36%,35.6,5.7,"1,2",27%,26.7,3.7,"1,2",27%,27.0,3.6,1,28%,28.4,2.9,1,35%,35.1,3.1,1,29%,29.1,2.3,1,25%,24.9,2.3,1,26%,25.6,2.5,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,76.3,7.7,1,55%,54.9,7.0,1,50%,49.9,8.2,1,76%,76.3,5.7,1,DSU,52.4,8.5,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,34.0,7.6,1,DSU,38.1,11.6,1,DSU,32.0,11.6,1,DSU,18.4,12.1,1,DSU,28.6,14.8,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",34%,34.3,4.6,"1,2",29%,28.6,4.3,"1,2",36%,35.7,3.7,1,24%,24.4,3.8,1,28%,28.2,2.8,1,33%,32.9,2.7,1,28%,28.1,2.9,1,27%,26.8,3.1,---,.,.,---,.,.,---,.,.
               White only,"1,2",42%,41.9,1.2,"1,2",39%,38.7,1.1,"1,2",41%,40.5,1.0,1,33%,33.1,1.0,1,38%,37.6,0.8,1,36%,36.1,0.8,1,36%,36.4,0.8,1,33%,33.3,0.8,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,23.8,5.4,1,31%,31.4,4.8,1,31%,30.6,4.4,1,27%,27.0,3.2,1,25%,25.5,2.8,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,25.3,6.6,1,26%,26.1,5.3,1,31%,30.9,5.0,1,29%,29.0,3.9,1,26%,26.2,3.2,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,10.7,7.7,1,DSU,0.0,0.0,1,DSU,7.8,7.1,1,DSU,27.1,6.8,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,39%,39.4,7.3,1,27%,26.7,5.2,1,22%,21.6,4.5,1,27%,27.2,3.8,1,34%,34.2,3.8,1,23%,22.6,2.9,1,26%,25.9,3.0,1,18%,18.0,2.3,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,41%,41.4,1.1,1,38%,37.6,1.0,1,40%,39.7,1.0,1,33%,32.8,1.0,1,37%,37.1,0.8,1,36%,35.7,0.7,1,35%,35.1,0.7,1,32%,32.1,0.8,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",35%,34.6,4.6,"1,2",29%,29.0,4.4,"1,2",36%,35.7,3.7,1,24%,24.1,3.8,1,28%,28.3,2.8,1,33%,32.9,2.7,1,28%,28.1,2.9,1,26%,25.8,3.0,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",42%,41.7,1.2,"1,2",39%,38.8,1.1,"1,2",41%,40.7,1.0,1,33%,33.1,1.0,1,38%,37.6,0.8,1,36%,36.4,0.8,1,37%,36.5,0.8,1,34%,33.6,0.9,---,.,.,---,.,.,---,.,.
               Female,1,48%,47.6,1.5,1,44%,43.5,1.3,1,46%,45.5,1.3,1,38%,37.9,1.2,1,43%,43.4,1.0,1,40%,40.3,0.9,1,41%,41.0,0.9,1,38%,38.1,0.9,---,.,.,---,.,.,---,.,.
               Male,1,35%,35.2,1.7,1,30%,30.1,1.5,1,32%,31.6,1.3,1,27%,26.9,1.4,1,30%,29.7,1.1,1,30%,29.5,1.0,1,28%,27.7,1.1,1,24%,24.2,1.1,---,.,.,---,.,.,---,.,.
               Less than high school,1,33%,33.3,3.2,1,28%,27.9,3.1,1,27%,27.0,2.4,1,29%,28.7,2.7,1,30%,29.7,2.2,1,32%,31.6,2.2,1,33%,33.1,2.3,1,25%,25.1,1.9,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,34%,33.7,6.8,1,22%,22.2,5.0,1,18%,18.4,3.4,1,23%,23.0,5.1,1,33%,32.8,4.9,1,28%,27.9,4.1,1,29%,29.3,4.1,1,15%,14.9,2.5,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,34%,33.8,3.6,1,29%,29.3,3.8,1,29%,29.5,3.1,1,31%,31.1,3.2,1,28%,28.5,2.4,1,33%,33.0,2.6,1,34%,34.2,2.8,1,31%,30.5,2.5,---,.,.,---,.,.,---,.,.
               High school graduate,1,41%,41.1,1.9,1,34%,33.5,1.7,1,38%,37.9,1.6,1,30%,30.1,1.6,1,33%,32.8,1.2,1,32%,32.4,1.1,1,31%,31.3,1.3,1,28%,27.7,1.3,---,.,.,---,.,.,---,.,.
               At least some college,1,41%,40.8,1.6,1,38%,38.1,1.5,1,40%,39.9,1.3,1,31%,31.4,1.3,1,36%,35.6,1.0,1,35%,34.8,0.9,1,34%,33.5,0.9,1,31%,31.4,0.9,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,39%,39.1,2.3,1,40%,39.6,2.2,1,42%,42.3,2.0,1,33%,33.0,1.9,1,38%,37.8,1.4,1,38%,38.3,1.3,1,37%,37.0,1.3,1,34%,34.2,1.3,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.0,2.2,1,30%,29.9,2.2,1,29%,28.9,1.5,1,28%,28.0,1.6,1,27%,26.8,1.6,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,34.5,1.1,1,38%,38.0,0.8,1,37%,36.8,0.8,1,36%,36.1,0.8,1,33%,32.7,0.8,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,49%,48.9,2.0,1,42%,41.6,1.8,1,41%,40.6,1.6,1,38%,38.0,1.7,1,43%,42.8,1.4,1,39%,39.0,1.3,1,39%,38.7,1.4,1,35%,35.4,1.5,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,31%,31.5,1.7,1,32%,32.1,1.6,1,34%,34.1,1.5,1,28%,28.0,1.5,1,31%,30.7,1.1,1,30%,30.0,0.9,1,30%,30.1,1.0,1,27%,26.9,1.0,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,45%,45.1,2.0,1,37%,37.2,1.8,1,43%,42.8,1.7,1,30%,30.2,1.5,1,36%,36.0,1.1,1,36%,36.0,1.1,1,34%,34.3,1.1,1,31%,30.8,1.0,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,1,24%,24.5,2.5,1,32%,32.4,2.3,1,28%,27.9,2.2,1,31%,31.0,1.8,1,28%,28.4,1.5,1,26%,26.2,1.5,1,DNC,25.3,1.3,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,1,40%,39.9,1.2,1,42%,41.5,1.1,1,34%,34.3,1.1,1,39%,39.3,0.9,1,37%,37.4,0.8,1,37%,37.4,0.9,1,DNC,36.0,0.9,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,24%,23.6,4.5,1,18%,17.6,4.5,1,11%,11.0,2.8,1,23%,22.8,4.9,1,22%,22.4,3.6,1,14%,13.9,2.3,1,17%,17.5,4.6,1,12%,11.9,1.8,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,43%,43.3,1.2,1,38%,38.3,1.0,1,40%,40.3,1.0,1,34%,33.7,1.0,1,38%,38.0,0.8,1,36%,36.5,0.7,1,36%,36.4,0.7,1,33%,33.2,0.8,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,1,24%,23.8,2.0,1,29%,28.5,2.3,,DNC,.,.,1,21%,20.7,1.9,,DNC,.,.,1,21%,20.6,1.4,1,20%,20.0,1.4,1,DNC,19.1,1.4,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,1,47%,46.7,1.3,1,39%,39.0,1.2,,DNC,.,.,1,37%,36.5,1.1,,DNC,.,.,1,40%,39.8,0.8,1,40%,39.6,0.9,1,DNC,38.3,0.9,---,.,.,---,.,.,---,.,.
            STATE:Oregon,1,41%,41.1,1.3,1,41%,41.1,1.3,1,38%,38.4,0.9,1,38%,38.0,1.1,1,38%,38.0,1.0,1,37%,37.1,0.9,1,37%,36.6,0.8,1,36%,35.5,0.9,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,21.9,6.5,"1,2",DSU,32.2,6.2,"1,2",22%,21.5,5.0,1,DSU,23.9,6.6,1,DSU,31.0,7.3,1,22%,21.6,5.9,1,DSU,26.0,8.1,1,32%,32.4,7.0,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,70.8,8.3,1,DSU,67.9,10.5,1,62%,62.3,6.9,1,56%,55.7,8.5,1,61%,60.9,7.0,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,42.6,14.2,1,DSU,41.8,12.4,1,DSU,29.0,7.4,1,DSU,35.3,11.3,1,DSU,35.9,15.0,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",DSU,12.4,7.2,"1,2",DSU,11.3,6.9,"1,2",DSU,32.7,8.4,1,DSU,31.0,10.8,1,DSU,27.6,9.5,1,DSU,31.2,10.0,1,28%,27.5,6.7,1,DSU,14.7,5.8,---,.,.,---,.,.,---,.,.
               White only,"1,2",42%,41.6,1.4,"1,2",42%,41.8,1.4,"1,2",39%,38.8,1.0,1,39%,39.0,1.2,1,39%,39.1,1.1,1,38%,37.9,1.0,1,38%,38.3,0.9,1,36%,35.9,0.9,---,.,.,---,.,.,---,.,.
