Focus area: 21-Oral Health - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,1998 raw value,1998 se,1999 footnote,1999 data,1999 raw value,1999 se,2000 footnote,2000 data,2000 raw value,2000 se,2001 footnote,2001 data,2001 raw value,2001 se,2002 footnote,2002 data,2002 raw value,2002 se,2003 footnote,2003 data,2003 raw value,2003 se,2004 footnote,2004 data,2004 raw value,2004 se,2005 footnote,2005 data,2005 raw value,2005 se,2006 footnote,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,40.0,27.7,,DNC,.,.,1,DSU,16.7,15.2,1,DSU,30.9,15.4,,DNC,.,.,1,DSU,14.2,9.8,,DNC,.,.,1,DSU,9.0,5.2,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,18.0,12.9,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,61.1,33.6,,DNC,.,.,1,DSU,40.3,28.1,,DNC,.,.,1,DSU,11.0,8.9,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,51.6,21.2,1,DSU,14.8,13.9,,DNC,.,.,1,DSU,8.6,6.2,,DNC,.,.,1,13%,12.5,0.7,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",20%,19.9,2.5,,DNC,.,.,1,21%,20.9,2.4,1,14%,13.6,1.8,,DNC,.,.,1,14%,13.8,0.9,,DNC,.,.,1,18%,17.6,4.6,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,37.0,16.9,1,DSU,9.6,9.1,,DNC,.,.,1,DSU,31.3,10.0,,DNC,.,.,1,19%,19.3,5.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.7,17.6,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,17.8,5.9,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,80.0,22.7,,DNC,.,.,1,24%,23.7,6.1,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,33.1,20.5,,DNC,.,.,1,DSU,13.6,12.6,1,DSU,4.1,4.2,,DNC,.,.,1,DSU,25.9,11.2,,DNC,.,.,1,13%,12.8,0.7,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,22%,21.6,2.6,,DNC,.,.,1,22%,21.6,2.4,1,14%,14.0,1.8,,DNC,.,.,1,14%,13.8,0.9,,DNC,.,.,1,DSU,11.0,8.9,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,88.9,11.6,,DNC,.,.,1,DSU,51.6,21.2,1,DSU,14.8,13.9,,DNC,.,.,1,DSU,8.6,6.2,,DNC,.,.,1,12%,12.4,0.7,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",20%,20.0,2.6,,DNC,.,.,1,21%,20.7,2.4,1,14%,13.9,1.8,,DNC,.,.,1,14%,13.7,0.9,,DNC,.,.,1,16%,15.5,1.0,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,23%,23.2,3.6,,DNC,.,.,1,25%,24.8,3.1,1,14%,13.7,2.1,,DNC,.,.,1,17%,17.3,1.3,,DNC,.,.,1,10%,10.3,1.0,---,.,.,---,.,.
               Female,,DNC,.,.,1,20%,20.2,3.8,,DNC,.,.,1,18%,18.0,3.6,1,14%,13.9,2.8,,DNC,.,.,1,11%,10.7,1.2,,DNC,.,.,1,43%,43.4,4.0,---,.,.,---,.,.
               Male,,DNC,.,.,1,DSU,44.4,8.4,,DNC,.,.,1,DSU,40.1,8.0,1,48%,48.1,7.8,,DNC,.,.,1,35%,35.3,4.3,,DNC,.,.,1,19%,19.2,1.6,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,32%,32.0,4.9,,DNC,.,.,1,28%,27.9,4.5,1,10%,9.8,2.7,,DNC,.,.,1,23%,22.8,2.1,,DNC,.,.,1,8%,7.6,0.7,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,DSU,9.1,2.7,,DNC,.,.,1,14%,14.0,2.7,1,10%,9.9,1.9,,DNC,.,.,1,8%,8.2,0.9,,DNC,.,.,1,16%,15.6,1.2,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,28%,28.4,4.2,,DNC,.,.,,DNC,.,.,1,21%,20.6,1.9,,DNC,.,.,1,11%,11.5,0.9,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,18%,18.2,2.8,,DNC,.,.,,DNC,.,.,1,11%,11.0,1.0,,DNC,.,.,1,35%,34.9,2.2,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,42%,42.4,2.9,,DNC,.,.,,DNC,.,.,1,38%,38.4,2.5,,DNC,.,.,1,37%,37.0,2.5,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
            STATE:West Virginia,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.8,17.9,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,39.9,33.9,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,55.8,21.8,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,40.5,15.1,,DNC,.,.,1,DSU,70.8,18.8,,DNC,.,.,1,34%,33.9,2.3,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",43%,43.0,2.9,,DNC,.,.,,DNC,.,.,1,38%,37.6,2.6,,DNC,.,.,1,37%,36.6,2.6,,DNC,.,.,1,DSU,62.2,13.6,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,53.8,13.9,,DNC,.,.,1,DSU,18.7,13.3,,DNC,.,.,1,DSU,54.5,15.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,53.5,18.6,,DNC,.,.,1,DSU,6.7,6.9,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,66.7,31.4,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,48.0,19.2,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,83.7,15.9,,DNC,.,.,,DNC,.,.,1,DSU,12.9,12.4,,DNC,.,.,1,DSU,14.7,13.6,,DNC,.,.,1,35%,34.6,2.2,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,42%,41.8,2.9,,DNC,.,.,,DNC,.,.,1,39%,38.6,2.5,,DNC,.,.,1,37%,37.4,2.6,,DNC,.,.,1,DSU,55.8,21.8,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,21.9,15.8,,DNC,.,.,,DNC,.,.,1,DSU,40.5,15.1,,DNC,.,.,1,DSU,70.8,18.8,,DNC,.,.,1,34%,33.6,2.3,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",43%,42.6,2.9,,DNC,.,.,,DNC,.,.,1,38%,37.8,2.6,,DNC,.,.,1,37%,37.0,2.6,,DNC,.,.,1,37%,36.6,2.8,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,44%,44.0,3.7,,DNC,.,.,,DNC,.,.,1,41%,41.0,3.2,,DNC,.,.,1,38%,38.4,3.1,,DNC,.,.,1,33%,32.8,3.4,---,.,.,---,.,.
               Female,,DNC,.,.,1,40%,40.3,4.6,,DNC,.,.,,DNC,.,.,1,35%,35.5,3.8,,DNC,.,.,1,35%,35.4,4.2,,DNC,.,.,1,59%,58.8,4.9,---,.,.,---,.,.
               Male,,DNC,.,.,1,65%,64.7,4.9,,DNC,.,.,,DNC,.,.,1,53%,53.3,4.7,,DNC,.,.,1,58%,58.0,5.1,,DNC,.,.,1,35%,35.4,3.4,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,37%,37.1,4.2,,DNC,.,.,,DNC,.,.,1,35%,35.0,3.9,,DNC,.,.,1,38%,38.0,4.0,,DNC,.,.,1,17%,16.8,3.1,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,18%,17.8,4.1,,DNC,.,.,,DNC,.,.,1,27%,26.7,3.9,,DNC,.,.,1,19%,19.1,3.6,,DNC,.,.,1,44%,43.9,3.7,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,42%,41.8,4.0,,DNC,.,.,1,29%,29.2,2.6,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,33.8,3.2,,DNC,.,.,1,15%,15.0,1.7,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,19%,19.0,2.8,,DNC,.,.,1,16%,15.9,2.4,1,20%,19.7,2.2,,DNC,.,.,1,19%,19.0,2.0,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
            STATE:Wisconsin,,DNC,.,.,"2,1",DSU,100.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,61.4,33.5,,DNC,.,.,1,DSU,26.6,21.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,40.6,12.7,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.3,17.3,1,DSU,40.0,13.4,,DNC,.,.,1,DSU,31.2,8.8,,DNC,.,.,1,14%,14.4,1.7,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",19%,18.7,2.9,,DNC,.,.,1,15%,15.3,2.4,1,19%,18.7,2.2,,DNC,.,.,1,19%,18.5,2.1,,DNC,.,.,1,DSU,31.0,17.6,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,56.9,34.7,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,27.5,23.5,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,35.9,26.9,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,24.9,23.0,,DNC,.,.,1,DSU,31.5,23.7,1,DSU,48.0,24.8,,DNC,.,.,1,DSU,12.8,12.3,,DNC,.,.,1,15%,14.7,1.6,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,19%,18.7,2.9,,DNC,.,.,1,15%,14.6,2.3,1,19%,18.9,2.2,,DNC,.,.,1,19%,18.9,2.1,,DNC,.,.,1,DSU,40.6,12.7,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,17.0,9.4,,DNC,.,.,1,DSU,38.3,17.3,1,DSU,40.0,13.4,,DNC,.,.,1,DSU,31.2,8.8,,DNC,.,.,1,14%,14.1,1.7,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",18%,18.3,2.9,,DNC,.,.,1,14%,13.8,2.3,1,19%,18.5,2.2,,DNC,.,.,1,18%,18.4,2.1,,DNC,.,.,1,15%,15.1,2.1,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,25%,24.6,4.1,,DNC,.,.,1,14%,14.4,3.0,1,18%,18.3,2.6,,DNC,.,.,1,19%,19.0,2.5,,DNC,.,.,1,15%,14.9,2.6,---,.,.,---,.,.
               Female,,DNC,.,.,1,13%,12.7,3.7,,DNC,.,.,1,17%,17.5,3.7,1,22%,21.6,3.9,,DNC,.,.,1,19%,19.1,3.3,,DNC,.,.,1,39%,38.8,8.3,---,.,.,---,.,.
               Male,,DNC,.,.,1,DSU,39.2,7.9,,DNC,.,.,1,DSU,15.8,5.8,1,39%,38.6,6.7,,DNC,.,.,1,44%,43.8,7.5,,DNC,.,.,1,20%,20.4,2.7,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,19%,18.8,4.2,,DNC,.,.,1,20%,20.2,4.1,1,23%,22.6,3.8,,DNC,.,.,1,22%,22.0,3.1,,DNC,.,.,1,7%,7.2,1.8,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,DSU,8.6,3.5,,DNC,.,.,1,12%,11.8,3.2,1,10%,10.1,2.4,,DNC,.,.,1,9%,9.2,2.5,,DNC,.,.,1,19%,18.9,3.1,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,23%,22.7,5.2,1,29%,29.3,5.4,,DNC,.,.,1,17%,16.9,3.6,,DNC,.,.,1,13%,13.3,2.0,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,13%,12.9,2.5,1,17%,17.2,2.4,,DNC,.,.,1,20%,19.6,2.5,,DNC,.,.,1,19%,18.6,1.5,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,22%,21.7,2.8,,DNC,.,.,,DNC,.,.,1,25%,24.6,2.4,,DNC,.,.,1,19%,18.7,1.8,,DNC,.,.,1,DSU,28.8,15.6,---,.,.,---,.,.
            STATE:Wyoming,,DNC,.,.,"2,1",DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,24.7,17.6,,DNC,.,.,1,DSU,15.7,14.6,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,29.2,25.4,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,18%,18.5,1.6,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",22%,21.6,2.9,,DNC,.,.,,DNC,.,.,1,25%,24.8,2.4,,DNC,.,.,1,19%,19.0,1.9,,DNC,.,.,1,DSU,15.8,10.7,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.2,22.3,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,10.9,10.3,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.2,22.3,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,12.9,6.6,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,27.2,17.6,,DNC,.,.,,DNC,.,.,1,DSU,39.8,15.6,,DNC,.,.,1,DSU,4.9,4.8,,DNC,.,.,1,19%,18.8,1.6,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,21%,21.4,2.9,,DNC,.,.,,DNC,.,.,1,24%,24.1,2.4,,DNC,.,.,1,19%,19.2,1.9,,DNC,.,.,1,DSU,29.2,25.4,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,19%,18.6,1.6,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",22%,21.8,2.9,,DNC,.,.,,DNC,.,.,1,24%,24.3,2.4,,DNC,.,.,1,19%,19.1,1.9,,DNC,.,.,1,19%,19.0,2.0,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,25%,25.2,3.9,,DNC,.,.,,DNC,.,.,1,26%,26.3,3.0,,DNC,.,.,1,21%,20.8,2.4,,DNC,.,.,1,18%,18.2,2.5,---,.,.,---,.,.
               Female,,DNC,.,.,1,17%,17.2,4.2,,DNC,.,.,,DNC,.,.,1,23%,22.7,3.7,,DNC,.,.,1,16%,16.4,2.7,,DNC,.,.,1,34%,33.9,6.4,---,.,.,---,.,.
               Male,,DNC,.,.,1,DSU,42.6,10.1,,DNC,.,.,,DNC,.,.,1,DSU,45.5,8.1,,DNC,.,.,1,DSU,37.5,7.6,,DNC,.,.,1,25%,24.9,2.9,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,27%,27.0,4.9,,DNC,.,.,,DNC,.,.,1,32%,32.2,4.0,,DNC,.,.,1,25%,25.0,3.2,,DNC,.,.,1,12%,12.4,1.8,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,11%,11.5,2.8,,DNC,.,.,,DNC,.,.,1,15%,14.5,2.8,,DNC,.,.,1,10%,9.8,1.9,,DNC,.,.,1,27%,26.9,3.2,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.3,3.9,,DNC,.,.,1,15%,14.8,1.8,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,15%,15.5,2.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-9 Community water fluoridation - Proportion of U.S. population served,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            STATE:Alabama,,---,.,.,,---,.,.,,83%,83.1,.,,---,.,.,,85%,84.6,.,,---,.,.,,88%,87.9,.,,---,.,.,,83%,82.9,.,---,.,.,---,.,.
            Race and ethnicity,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Gender,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Education level (persons aged 25 years and over),,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Disability status,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,55%,55.2,.,,---,.,.,,57%,57.3,.,,---,.,.,,60%,59.5,.,,---,.,.,,60%,59.5,.,---,.,.,---,.,.
            STATE:Alaska,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,56%,55.5,.,,---,.,.,,55%,55.4,.,,---,.,.,,56%,55.8,.,,---,.,.,,56%,56.1,.,---,.,.,---,.,.
            STATE:Arizona,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
