Focus area:14-Immunization and Infectious Diseases - 03-17-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,footnote,1998,raw  ,se  ,footnote,1999,raw  ,se  ,footnote,2000,raw  ,se  ,footnote,2001,raw  ,se  ,footnote,2002,raw  ,se  ,footnote,2003,raw  ,se  ,footnote,2004,raw  ,se  ,footnote,2005,raw  ,se  ,footnote,2006,raw  ,se  ,2007,raw,se,2008,raw,se
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,65%,65.0,5.4,,DNC,.,.,1,60%,60.4,5.8,1,60%,60.4,5.3,1,57%,56.5,5.3,1,55%,54.7,5.6,---,.,.,---,.,.
                    Persons aged 65 to 74 years (not age adjusted),,DNC,.,.,1,33%,33.4,6.2,,DNC,.,.,1,66%,65.7,5.6,1,58%,58.1,5.9,1,53%,53.2,5.1,1,51%,50.8,5.2,1,55%,55.4,4.8,1,54%,53.5,5.4,---,.,.,---,.,.
                    Persons aged 75 to 84 years (not age adjusted),,DNC,.,.,1,58%,58.1,9.7,,DNC,.,.,1,63%,62.6,7.6,1,67%,67.3,7.3,1,80%,80.0,5.7,1,70%,70.3,7.0,1,74%,74.2,6.5,1,79%,78.9,5.7,---,.,.,---,.,.
                    Persons aged 85 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),,DNC,.,.,1,DSU,80.7,15.0,,DNC,.,.,1,DSU,80.8,12.6,1,DSU,50.6,17.1,1,DSU,65.6,18.0,1,DSU,51.3,17.0,1,DSU,72.8,13.7,1,DSU,44.1,15.8,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,DSU,39.9,12.9,,DNC,.,.,1,DSU,66.7,11.1,1,DSU,65.8,7.6,1,DSU,59.0,11.5,1,DSU,67.7,9.4,1,DSU,72.6,8.3,1,77%,77.3,7.3,---,.,.,---,.,.
              STATE:Arizona,,DNC,.,.,1,54%,54.3,3.1,1,74%,73.8,2.6,1,66%,66.5,2.4,1,69%,68.6,2.2,1,66%,65.7,2.3,1,69%,68.6,2.1,1,66%,65.5,2.0,1,67%,66.6,2.1,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,"2,1",DSU,56.0,25.4,1,DSU,40.2,20.4,1,DSU,67.4,10.1,1,DSU,8.9,6.1,1,DSU,28.8,13.3,1,DSU,74.3,12.4,1,DSU,63.1,14.5,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,88.9,13.2,1,DSU,21.3,15.2,1,DSU,50.7,3.5,1,DSU,79.7,17.2,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,47.8,0.0,1,DSU,56.4,8.8,,DNC,.,.,1,DSU,44.7,31.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,47.8,0.0,"2,1",DSU,18.4,13.0,1,DSU,59.0,6.5,1,DSU,21.7,14.9,1,DSU,64.6,12.8,1,DSU,35.5,17.3,1,DSU,58.2,15.8,1,DSU,24.9,12.2,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",56%,56.1,3.3,"2,1",74%,74.2,2.8,1,68%,67.7,2.5,1,69%,69.3,2.2,1,69%,69.4,2.3,1,72%,71.6,2.2,1,67%,67.1,2.1,1,69%,69.2,2.2,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.9,12.4,1,DSU,26.6,27.6,1,DSU,55.0,7.0,1,DSU,56.3,17.0,1,DSU,37.4,16.7,1,DSU,82.0,9.4,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.9,12.4,1,DSU,0.0,0.0,1,DSU,55.0,7.0,1,DSU,61.1,20.1,1,DSU,40.4,17.5,1,DSU,76.6,13.0,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,58.6,34.3,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,14.1,7.4,1,DSU,69.5,9.3,1,39%,39.4,8.1,1,60%,60.3,8.5,1,46%,45.8,8.1,1,43%,42.7,7.2,1,43%,42.9,7.2,1,40%,40.0,7.4,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,56%,56.4,3.3,1,74%,74.1,2.7,1,68%,68.4,2.5,1,69%,69.2,2.2,1,68%,68.2,2.3,1,71%,70.8,2.2,1,67%,66.9,2.1,1,69%,68.8,2.2,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,47.8,0.0,"2,1",DSU,18.4,13.0,1,DSU,59.0,6.5,1,DSU,21.7,14.9,1,DSU,64.6,12.8,1,DSU,35.5,17.3,1,DSU,61.2,17.0,1,DSU,30.6,15.9,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",57%,57.0,3.3,"2,1",74%,74.4,2.8,1,69%,68.7,2.6,1,70%,69.6,2.2,1,70%,69.6,2.3,1,72%,71.9,2.2,1,67%,67.2,2.2,1,69%,69.3,2.2,---,.,.,---,.,.
                 Female,,DNC,.,.,1,55%,55.0,3.9,1,77%,76.8,2.8,1,69%,68.5,3.1,1,71%,70.9,2.7,1,65%,64.9,3.1,1,70%,70.1,2.6,1,66%,65.6,2.5,1,69%,68.8,2.8,---,.,.,---,.,.
                 Male,,DNC,.,.,1,53%,53.4,5.1,1,70%,69.9,4.9,1,64%,63.7,3.9,1,66%,65.6,3.5,1,67%,67.0,3.5,1,67%,66.7,3.5,1,66%,65.8,3.2,1,64%,63.6,3.4,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,28%,27.6,7.3,1,68%,68.1,7.8,1,53%,53.3,6.9,1,64%,63.8,6.9,1,48%,48.4,7.1,1,64%,63.7,6.1,1,47%,46.7,5.5,1,49%,49.3,6.9,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,59%,59.4,5.2,1,72%,71.8,4.9,1,72%,72.2,4.5,1,69%,69.2,3.9,1,68%,67.8,4.1,1,66%,65.5,3.8,1,61%,60.9,3.7,1,66%,66.0,4.2,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,56%,56.0,4.4,1,77%,77.1,3.1,1,68%,68.1,3.0,1,70%,69.6,2.8,1,68%,67.7,3.0,1,72%,71.7,2.8,1,72%,71.9,2.5,1,70%,70.4,2.5,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,71%,71.0,4.1,1,73%,72.8,3.5,1,65%,64.9,4.0,1,74%,74.0,3.7,1,74%,74.4,3.1,1,71%,71.3,3.7,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,66%,66.0,2.9,1,66%,66.1,2.8,1,65%,65.0,2.9,1,65%,65.3,2.7,1,60%,60.4,2.6,1,64%,64.5,2.6,---,.,.,---,.,.
                    Persons aged 65 to 74 years (not age adjusted),,DNC,.,.,1,40%,40.4,4.5,1,69%,69.2,3.8,1,58%,58.3,3.4,1,64%,64.3,3.0,1,57%,57.2,3.7,1,61%,61.2,3.0,1,57%,57.5,3.1,1,59%,59.5,3.0,---,.,.,---,.,.
                    Persons aged 75 to 84 years (not age adjusted),,DNC,.,.,1,70%,70.0,4.7,1,81%,80.5,3.8,1,76%,76.4,3.6,1,76%,76.1,3.3,1,76%,75.7,2.9,1,75%,74.9,3.4,1,76%,76.3,2.8,1,76%,76.0,3.2,---,.,.,---,.,.
                    Persons aged 85 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),,DNC,.,.,1,DSU,67.7,11.1,1,DSU,68.2,10.6,1,DSU,68.8,11.1,1,57%,56.6,8.5,1,70%,70.4,7.6,1,88%,87.8,4.3,1,65%,64.7,6.6,1,68%,68.2,7.6,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,DSU,73.0,10.4,1,74%,74.4,7.2,1,68%,68.5,6.5,1,76%,76.3,5.0,1,60%,59.8,6.2,1,76%,76.4,4.6,1,74%,73.9,5.2,1,68%,68.5,5.4,---,.,.,---,.,.
              STATE:Arkansas,,DNC,.,.,1,53%,52.8,2.3,,DNC,.,.,1,60%,60.5,2.1,1,60%,60.1,1.8,1,61%,61.4,1.7,1,62%,62.1,1.7,1,58%,57.5,1.5,1,65%,64.7,1.3,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,56.5,7.3,,DNC,.,.,1,DSU,85.1,10.3,1,DSU,53.7,19.0,1,DSU,75.7,11.9,1,DSU,47.7,14.6,1,DSU,25.8,11.9,1,DSU,79.3,11.6,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,64.9,19.7,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,34.6,9.0,,DNC,.,.,1,DSU,46.7,7.4,1,40%,40.3,7.5,1,47%,46.6,7.1,1,33%,32.5,7.0,1,24%,24.3,5.5,1,32%,31.8,6.1,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",55%,54.6,2.4,,DNC,.,.,1,62%,62.1,2.2,1,62%,61.8,1.8,1,63%,63.2,1.8,1,64%,64.3,1.7,1,60%,59.5,1.5,1,67%,66.5,1.3,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,44.8,12.3,1,DSU,51.9,12.6,1,DSU,33.7,10.9,1,DSU,52.6,12.8,1,DSU,66.1,10.1,1,DSU,61.5,9.1,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,48.6,13.4,1,DSU,60.9,10.7,1,DSU,33.7,10.9,1,DSU,56.2,13.1,1,DSU,58.3,12.1,1,DSU,62.7,10.1,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,47.8,0.0,1,DSU,100.0,0.0,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,36.1,13.9,,DNC,.,.,1,DSU,66.0,17.6,1,DSU,64.6,15.8,1,DSU,51.0,17.6,1,DSU,79.9,12.1,1,DSU,52.4,12.3,1,DSU,65.1,9.9,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,53%,53.0,2.3,,DNC,.,.,1,60%,60.2,2.2,1,60%,60.2,1.8,1,62%,61.8,1.7,1,62%,62.2,1.7,1,58%,57.8,1.5,1,65%,65.0,1.3,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,35.3,9.2,,DNC,.,.,1,DSU,43.0,7.5,1,DSU,38.4,8.2,1,44%,44.2,8.2,1,DSU,35.0,7.5,1,23%,23.3,5.6,1,34%,33.6,6.6,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",55%,54.8,2.4,,DNC,.,.,1,62%,61.9,2.3,1,62%,62.0,1.9,1,63%,63.4,1.8,1,64%,64.1,1.7,1,59%,59.5,1.5,1,67%,66.8,1.3,---,.,.,---,.,.
                 Female,,DNC,.,.,1,54%,54.0,2.7,,DNC,.,.,1,55%,54.6,2.6,1,60%,60.0,2.2,1,58%,58.2,2.1,1,59%,58.6,2.0,1,55%,55.4,1.8,1,65%,65.0,1.6,---,.,.,---,.,.
                 Male,,DNC,.,.,1,52%,51.8,4.1,,DNC,.,.,1,70%,69.8,3.4,1,60%,60.1,3.0,1,66%,66.3,2.7,1,67%,66.5,2.8,1,60%,60.3,2.5,1,65%,64.8,2.1,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,46%,46.4,4.2,,DNC,.,.,1,60%,60.1,4.1,1,53%,53.1,3.3,1,57%,56.5,3.8,1,58%,58.3,3.6,1,55%,54.7,3.3,1,57%,57.1,3.3,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,57%,57.0,3.8,,DNC,.,.,1,58%,57.9,3.6,1,60%,60.2,2.8,1,61%,60.7,2.7,1,59%,58.5,2.7,1,55%,54.9,2.4,1,63%,62.8,2.0,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,56%,56.2,3.7,,DNC,.,.,1,65%,64.9,3.4,1,67%,66.9,3.0,1,65%,64.8,2.6,1,67%,67.4,2.5,1,61%,60.6,2.2,1,70%,69.8,1.9,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,65%,65.2,3.5,,DNC,.,.,1,72%,71.7,2.6,1,66%,65.5,2.8,1,64%,64.0,2.5,1,70%,70.2,2.1,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,57%,57.4,2.8,,DNC,.,.,1,56%,55.7,2.2,1,60%,60.3,2.1,1,55%,54.6,1.8,1,61%,61.4,1.7,---,.,.,---,.,.
                    Persons aged 65 to 74 years (not age adjusted),,DNC,.,.,1,44%,43.6,2.9,,DNC,.,.,1,51%,51.5,3.0,1,54%,53.5,2.4,1,51%,51.1,2.3,1,54%,53.8,2.3,1,48%,48.5,2.0,1,56%,55.6,1.8,---,.,.,---,.,.
                    Persons aged 75 to 84 years (not age adjusted),,DNC,.,.,1,62%,62.3,4.0,,DNC,.,.,1,73%,72.7,3.2,1,68%,68.1,2.9,1,74%,73.8,2.7,1,72%,72.3,2.6,1,68%,67.9,2.3,1,74%,74.3,2.2,---,.,.,---,.,.
                    Persons aged 85 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),,DNC,.,.,1,DSU,66.3,8.3,,DNC,.,.,1,DSU,58.4,7.9,1,64%,63.7,6.4,1,65%,64.6,6.9,1,63%,63.2,6.9,1,64%,63.9,6.2,1,77%,76.8,4.2,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,56%,55.8,5.6,,DNC,.,.,1,70%,70.0,5.4,1,68%,68.2,4.0,1,72%,72.1,4.0,1,70%,70.3,3.9,1,69%,68.6,3.6,1,68%,68.4,3.1,---,.,.,---,.,.
              STATE:California,,DNC,.,.,1,58%,58.1,2.2,1,61%,61.3,2.5,1,60%,59.6,2.3,1,67%,67.2,2.1,1,65%,65.1,2.1,1,63%,63.4,2.1,1,61%,61.2,1.9,1,60%,60.1,1.9,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,52.3,0.0,"2,1",DSU,0.0,0.0,1,DSU,55.7,16.3,1,DSU,71.1,15.9,1,DSU,71.6,12.1,1,DSU,72.9,16.6,1,DSU,50.6,14.8,1,DSU,35.6,8.0,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,76.7,8.5,"2,1",DSU,32.6,11.4,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.2,12.1,1,DSU,85.4,8.2,1,DSU,22.7,9.2,1,DSU,66.6,14.8,1,DSU,48.8,13.1,1,DSU,50.2,9.4,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,73.9,18.5,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,47.8,0.0,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,36.8,11.0,"2,1",DSU,44.9,11.6,1,DSU,42.6,9.9,1,DSU,56.5,9.4,1,DSU,40.2,8.1,1,DSU,38.5,9.7,1,DSU,64.0,9.3,1,DSU,61.1,10.3,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",59%,58.6,2.3,"2,1",65%,65.2,2.4,1,63%,62.7,2.4,1,67%,67.1,2.2,1,68%,68.4,2.0,1,65%,65.3,2.1,1,62%,61.6,1.9,1,61%,61.5,2.0,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,70.2,8.5,1,DSU,56.3,15.5,1,DSU,77.0,13.3,1,DSU,47.1,11.7,1,DSU,70.2,11.3,1,DSU,38.1,8.8,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,69.4,9.4,1,DSU,59.8,16.6,1,DSU,62.1,19.0,1,DSU,8.6,10.0,1,DSU,76.6,10.9,1,DSU,44.9,11.4,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,100.0,0.0,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,17.1,16.3,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,31%,31.0,6.1,1,44%,43.8,8.8,1,39%,38.9,7.4,1,60%,59.6,7.3,1,60%,59.7,6.7,1,55%,55.4,6.5,1,48%,48.1,5.8,1,37%,37.2,5.7,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,64%,64.2,2.2,1,64%,64.1,2.5,1,63%,63.1,2.2,1,69%,69.2,2.0,1,66%,66.2,2.1,1,65%,65.2,2.1,1,65%,64.7,1.9,1,66%,65.6,1.7,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,41.3,11.1,"2,1",DSU,45.4,12.1,1,DSU,43.9,10.4,1,DSU,55.7,9.6,1,DSU,40.2,8.1,1,DSU,35.6,9.6,1,DSU,64.7,9.4,1,DSU,60.7,10.4,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",65%,65.1,2.3,"2,1",68%,68.2,2.3,1,68%,67.8,2.1,1,69%,68.9,2.0,1,70%,70.1,1.8,1,68%,67.8,2.0,1,66%,65.8,1.7,1,67%,67.3,1.6,---,.,.,---,.,.
                 Female,,DNC,.,.,1,56%,55.7,2.9,1,64%,64.3,2.9,1,62%,62.3,2.8,1,72%,71.7,2.8,1,67%,66.5,2.6,1,64%,64.3,2.6,1,63%,62.5,2.4,1,63%,62.8,2.4,---,.,.,---,.,.
                 Male,,DNC,.,.,1,62%,62.3,3.5,1,57%,56.7,4.3,1,56%,56.3,3.8,1,61%,60.7,3.3,1,63%,62.8,3.5,1,62%,62.1,3.5,1,59%,59.3,3.2,1,57%,56.5,3.0,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,41%,41.4,5.3,1,46%,46.4,6.6,1,44%,44.4,6.8,1,56%,55.7,6.1,1,55%,55.1,7.3,1,44%,44.1,6.8,1,48%,48.3,5.7,1,40%,40.2,5.7,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,66%,66.4,3.8,1,63%,63.1,4.6,1,65%,65.2,3.9,1,70%,70.3,3.9,1,67%,66.9,4.1,1,63%,62.9,3.9,1,65%,64.9,3.9,1,61%,61.1,3.3,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,62%,61.6,2.9,1,66%,66.1,2.9,1,62%,61.8,2.7,1,70%,69.9,2.5,1,67%,66.8,2.4,1,70%,69.6,2.4,1,64%,64.3,2.3,1,65%,65.3,2.2,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,69%,69.0,3.6,1,72%,72.2,3.8,1,71%,71.2,3.3,1,67%,66.6,3.7,1,67%,67.0,3.3,1,69%,69.3,2.8,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,58%,57.5,2.9,1,65%,65.4,2.7,1,63%,62.5,2.7,1,64%,63.6,2.5,1,59%,58.5,2.5,1,55%,54.6,2.4,---,.,.,---,.,.
                    Persons aged 65 to 74 years (not age adjusted),,DNC,.,.,1,49%,48.5,3.2,1,55%,55.3,3.6,1,59%,59.2,3.3,1,59%,58.6,3.3,1,63%,62.6,2.7,1,58%,58.2,3.0,1,52%,52.4,2.8,1,54%,53.6,2.5,---,.,.,---,.,.
                    Persons aged 75 to 84 years (not age adjusted),,DNC,.,.,1,69%,68.9,3.4,1,69%,68.5,3.8,1,60%,59.7,3.6,1,77%,77.0,3.0,1,67%,66.9,3.5,1,71%,70.7,3.2,1,71%,71.1,3.0,1,69%,68.8,2.9,---,.,.,---,.,.
                    Persons aged 85 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),,DNC,.,.,1,DSU,67.0,9.0,1,DSU,64.1,8.8,1,62%,61.8,7.1,1,75%,74.8,7.2,1,73%,73.5,6.4,1,59%,59.3,7.0,1,68%,68.2,6.9,1,61%,61.1,7.0,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,56%,55.7,6.4,1,53%,52.8,7.0,1,64%,64.1,5.7,1,76%,75.5,4.7,1,62%,62.0,5.6,1,60%,60.0,5.5,1,65%,64.6,4.8,1,60%,60.0,4.3,---,.,.,---,.,.
              STATE:Colorado,,DNC,.,.,1,63%,63.4,3.1,,DNC,.,.,1,70%,69.6,3.0,1,69%,68.5,2.6,1,69%,69.1,2.1,1,70%,70.3,1.8,1,70%,70.5,1.5,1,73%,73.3,1.3,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,47.8,0.0,1,DSU,82.6,14.3,1,DSU,76.1,14.6,1,DSU,65.8,16.8,1,DSU,87.7,11.7,1,DSU,78.3,10.3,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,100.0,0.0,1,DSU,92.6,7.0,1,DSU,81.9,10.7,1,DSU,52.7,17.9,1,DSU,63.7,8.6,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,52.3,0.0,,DNC,.,.,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,47.8,0.0,1,DSU,70.3,12.0,1,DSU,45.1,4.9,1,61%,60.8,8.5,1,DSU,73.4,10.2,1,DSU,89.9,9.1,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",65%,64.5,3.2,,DNC,.,.,1,73%,72.9,3.0,1,68%,68.1,2.7,1,69%,69.3,2.1,1,71%,71.5,1.8,1,72%,71.6,1.5,1,73%,73.1,1.4,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,62.1,21.1,1,DSU,73.0,10.6,1,DSU,61.1,12.6,1,DSU,66.5,15.0,1,DSU,57.5,14.0,1,DSU,89.2,7.2,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,80.8,17.2,1,DSU,73.7,17.6,1,DSU,43.7,18.4,1,DSU,94.5,5.9,1,DSU,53.7,19.8,1,DSU,91.4,7.9,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,60.8,12.2,1,DSU,100.0,0.0,,DNC,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,52.2,11.8,,DNC,.,.,1,DSU,54.9,11.4,1,56%,56.2,10.6,1,DSU,60.6,9.2,1,61%,61.2,6.3,1,47%,46.6,7.9,1,68%,68.5,5.7,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,65%,64.6,3.2,,DNC,.,.,1,71%,70.6,3.1,1,70%,70.1,2.0,1,70%,69.6,2.1,1,71%,70.8,1.8,1,72%,71.8,1.5,1,74%,73.7,1.4,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,47.8,0.0,1,DSU,69.0,12.7,1,DSU,45.1,4.9,1,61%,60.9,8.5,1,DSU,76.6,9.9,1,DSU,88.9,10.0,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",65%,65.4,3.2,,DNC,.,.,1,73%,73.3,3.1,1,70%,70.1,2.1,1,70%,69.8,2.2,1,72%,71.9,1.9,1,72%,72.3,1.5,1,73%,73.4,1.4,---,.,.,---,.,.
                 Female,,DNC,.,.,1,62%,62.1,3.9,,DNC,.,.,1,71%,70.9,3.9,1,69%,69.4,3.7,1,67%,67.1,2.7,1,73%,73.2,2.1,1,70%,70.1,1.9,1,76%,76.3,1.7,---,.,.,---,.,.
                 Male,,DNC,.,.,1,66%,65.6,5.1,,DNC,.,.,1,68%,68.3,5.0,1,67%,67.1,3.3,1,72%,72.1,3.1,1,65%,65.0,3.1,1,71%,71.2,2.3,1,70%,70.3,2.0,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,56%,56.3,8.7,,DNC,.,.,1,DSU,62.3,7.9,1,61%,61.0,8.4,1,56%,56.1,7.1,1,60%,59.9,5.9,1,62%,62.3,5.0,1,67%,67.0,5.0,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,66%,66.4,5.7,,DNC,.,.,1,74%,73.9,5.0,1,73%,73.0,3.3,1,72%,71.5,3.1,1,73%,73.2,3.0,1,71%,71.3,2.6,1,75%,75.5,2.3,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,63%,63.3,4.3,,DNC,.,.,1,68%,67.9,4.2,1,70%,69.7,2.5,1,70%,70.1,2.9,1,70%,70.5,2.4,1,72%,71.9,1.9,1,73%,73.3,1.6,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,81%,80.7,5.2,,DNC,.,.,1,73%,72.8,3.3,1,78%,77.6,3.0,1,77%,77.3,2.4,1,76%,75.5,2.1,---,.,.,---,.,.
